time	gFx	gFy	gFz	TgF
0.571986198	0,0473	0,045	1,0125	1,015
0.574457865	0,0497	0,0443	1,0108	1,013
0.576681823	0,0497	0,0433	1,0072	1,009
0.579803073	0,0546	0,0409	1,0042	1,007
0.581016927	0,0536	0,0399	1,0028	1,005
0.584034271	0,0517	0,0399	1,0028	1,005
0.585853333	0,0512	0,0401	1,0033	1,005
0.588541875	0,0478	0,044	1,0008	1,003
0.596629062	0,0439	0,0457	1,0001	1,002
0.596968281	0,0429	0,0506	0,9981	1
0.597053542	0,0429	0,0519	0,9991	1,001
0.597774115	0,0407	0,055	1,0008	1,003
0.605551927	0,0375	0,0592	1,0035	1,006
0.605881302	0,0358	0,0633	1,0057	1,008
0.606083698	0,037	0,0648	1,002	1,005
0.607485365	0,0385	0,068	0,9984	1,001
0.609725937	0,039	0,0702	0,9967	1
0.612203437	0,0424	0,0721	0,9969	1
0.614606562	0,0402	0,0682	1,0025	1,006
0.61688375	0,0407	0,0692	1,0052	1,008
0.619244375	0,0463	0,068	1,0079	1,011
0.621560417	0,0478	0,0697	1,004	1,008
0.624077135	0,0431	0,0704	1,003	1,006
0.626499687	0,0436	0,0694	0,9962	1
0.629069896	0,0417	0,0714	0,9932	0,997
0.631486094	0,0414	0,0736	0,9898	0,993
0.633726302	0,0419	0,0729	0,9866	0,99
0.635882812	0,0439	0,0707	0,9842	0,988
0.638509792	0,0424	0,0699	0,9852	0,989
0.641035	0,0434	0,068	0,9937	0,997
0.644318333	0,0448	0,0646	0,9962	0,999
0.645734896	0,0456	0,0633	1,0023	1,005
0.648150625	0,0475	0,0621	1,0038	1,007
0.650419896	0,0495	0,0616	1,0011	1,004
0.652730729	0,0482	0,065	0,9967	1
0.655324792	0,0485	0,065	0,9928	0,996
0.657754375	0,0487	0,0641	0,9832	0,987
0.661631302	0,0451	0,0631	0,982	0,985
0.662894635	0,0456	0,0663	0,983	0,986
0.665752396	0,0448	0,0631	0,9869	0,99
0.668114062	0,046	0,0582	0,9908	0,994
0.67023651	0,0431	0,0602	0,9989	1,002
0.672665312	0,0426	0,0636	1,0045	1,007
0.675079635	0,0424	0,0628	1,0047	1,008
0.678346458	0,0434	0,0694	1,0033	1,007
0.679690312	0,0441	0,0719	1,003	1,007
0.682781667	0,0439	0,077	0,9952	0,999
0.684970364	0,0446	0,0826	0,9893	0,994
0.686755104	0,0453	0,0885	0,983	0,988
0.689081979	0,0448	0,0904	0,981	0,986
0.69232375	0,0419	0,0892	0,9835	0,988
0.69379375	0,039	0,0941	0,9879	0,993
0.696397552	0,0363	0,0934	0,9942	0,999
0.698865729	0,0348	0,0958	0,9998	1,005
0.701863906	0,0373	0,0953	1,0055	1,011
0.70418901	0,0377	0,0951	1,0064	1,012
0.706020885	0,0387	0,0939	1,0079	1,013
0.708926562	0,0397	0,0961	1,0079	1,013
0.711488125	0,0375	0,0997	1,0072	1,013
0.713275625	0,0385	0,0951	1,0086	1,014
0.716142031	0,037	0,0968	1,0101	1,015
0.718587708	0,0402	0,0953	1,0108	1,016
0.720811823	0,039	0,0922	1,013	1,018
0.723161771	0,0375	0,0961	1,0182	1,023
0.725931198	0,0387	0,097	1,0165	1,022
0.728095312	0,0421	0,0953	1,0177	1,023
0.731208698	0,046	0,0958	1,015	1,021
0.732354896	0,0482	0,0946	1,0111	1,017
0.736157031	0,0507	0,0936	1,0038	1,009
0.737834844	0,0558	0,0944	1,0011	1,007
0.740260573	0,059	0,0946	1,002	1,008
0.743197864	0,0597	0,0961	1,0023	1,009
0.74551651	0,0595	0,1029	0,9979	1,005
0.747312864	0,0634	0,1027	0,9932	1,001
0.749986719	0,0639	0,1073	0,9866	0,995
0.752222708	0,0629	0,1049	0,9783	0,986
0.754520937	0,0556	0,1097	0,9732	0,981
0.756490937	0,0478	0,1168	0,9757	0,984
0.75970625	0,0412	0,1207	0,9788	0,987
0.762781719	0,0353	0,1222	0,9859	0,994
0.764119844	0,0341	0,1293	0,9923	1,001
0.767088437	0,0331	0,131	1,0008	1,01
0.7691725	0,0319	0,131	1,0038	1,013
0.771423281	0,0321	0,132	1,0047	1,014
0.773676875	0,0324	0,1325	1,0042	1,013
0.777811719	0,0297	0,1334	1,0023	1,012
0.778436562	0,0287	0,1303	1,0013	1,01
0.781318073	0,0253	0,1359	1,002	1,012
0.783742239	0,0292	0,1376	1,0055	1,015
0.786024739	0,0358	0,1415	1,005	1,016
0.78794125	0,0399	0,1398	1,0045	1,015
0.790099479	0,0426	0,1413	1,0055	1,016
0.792863854	0,0448	0,1388	1,0089	1,019
0.79560375	0,0451	0,1383	1,0143	1,025
0.797445417	0,0385	0,1356	1,0155	1,025
0.800000989	0,0402	0,133	1,0145	1,024
0.801986667	0,0397	0,1349	1,0108	1,021
0.804343542	0,0385	0,1327	1,0103	1,02
0.806865781	0,0392	0,132	1,0116	1,021
0.811285104	0,0402	0,1288	1,0174	1,026
0.812815469	0,0363	0,1249	1,0194	1,028
0.814222239	0,039	0,1239	1,025	1,033
0.816554375	0,0399	0,1232	1,024	1,032
0.818798646	0,0392	0,1198	1,0191	1,027
0.821147812	0,0414	0,122	1,0172	1,025
